"industry","avg_ind_salary"
Research & Development,214
Other Retail Stores,167
Architectural & Engineering Services,155
Electrical & Electronic Manufacturing,146
Computer Hardware & Software,139
Consulting,133
Biotech & Pharmaceuticals,129
Advertising & Marketing,128
Aerospace & Defense,128
Staffing & Outsourcing,124
Health Care Services & Hospitals,123
Internet,122
Enterprise Software & Network Solutions,120
Federal Agencies,119
IT Services,118
Real Estate,117
Insurance Carriers,114
Investment Banking & Asset Management,104
Energy,104
