"job_state","category","job_count"
AL,Engineer,1
AL,Scientist,2
AZ,Engineer,1
AZ,Scientist,3
CA,Analyst,10
CA,Engineer,13
CA,Manager,3
CA,Other,2
CA,Scientist,89
CO,Engineer,1
CO,Scientist,6
CT,Engineer,1
CT,Scientist,2
DC,Analyst,1
DC,Scientist,17
DE,Scientist,1
FL,Engineer,3
FL,Other,1
FL,Scientist,2
GA,Scientist,7
IA,Analyst,1
IL,Analyst,3
IL,Engineer,2
IL,Other,1
IL,Scientist,19
IN,Analyst,2
IN,Engineer,2
IN,Scientist,1
KS,Scientist,1
LA,Analyst,1
MA,Analyst,1
MA,Engineer,4
MA,Manager,1
MA,Other,4
MA,Scientist,30
MD,Analyst,2
MD,Engineer,4
MD,Scientist,21
MI,Manager,1
MI,Scientist,2
MN,Analyst,1
MN,Scientist,1
MO,Analyst,1
MO,Engineer,2
MO,Scientist,6
MS,Scientist,1
NC,Analyst,1
NC,Engineer,3
NC,Scientist,3
NE,Analyst,1
NE,Scientist,2
NH,Engineer,1
NH,Scientist,1
NJ,Analyst,1
NJ,Scientist,9
NY,Analyst,1
NY,Engineer,5
NY,Other,1
NY,Scientist,33
OH,Engineer,3
OH,Scientist,7
OK,Analyst,1
OK,Scientist,1
OR,Engineer,1
OR,Scientist,1
PA,Analyst,4
PA,Engineer,1
PA,Scientist,6
Remote,Engineer,2
Remote,Scientist,2
RI,Scientist,1
SC,Analyst,1
SC,Scientist,1
TN,Analyst,2
TN,Engineer,1
TN,Scientist,3
TX,Analyst,2
TX,Engineer,1
TX,Scientist,12
United States,Engineer,1
United States,Scientist,8
UT,Engineer,1
UT,Scientist,2
VA,Analyst,5
VA,Engineer,8
VA,Other,1
VA,Scientist,54
WA,Analyst,1
WA,Scientist,11
WI,Analyst,1
WI,Scientist,4
WV,Scientist,1
